id;name
416237;Evli Nordic Corporate Bond B SEK
716053;Lancelot Camelot B
326928;CS (Lux) Global Bal Convert Bd B USD
2411;Templeton Global A(acc)USD
365049;Norron Premium RC
2590;Pictet - Emerging Europe R EUR
916313;Fidelity Sust Water & Waste A Acc USD
1009152;Swedbank Robur Företagsobl High Yield
595175;Quesada Bond Opportunity A
68707;BNP Paribas Turkey Equity Classic R
343415;Fidelity Global High Yield A-Acc-USD
533855;Franklin K2 Alt Strats A(acc)SEK-H1
459897;BNP Paribas Nordic Small Cap Cl C
801495;Danske Invest Aktiv Förmögenhetsförv SA
882673;Invesco PRC Equity A USD AD
891319;Invesco Emerging Markets Bond A SEKH Acc
289937;Threadneedle (Lux) American Abs Alp AU
1942;Catella Sverige Aktiv Hållbarhet
1542;UBS (Lux) EF Mid Caps USA (USD) P
499516;Franklin European Ttl Ret A(acc)SEK-H1
832735;AS SICAV I Mltfct Glbl Eq A Acc EUR
910094;Handelsbanken Global Index Crit (A1 SEK)
625256;Atlant Protect A
204694;Mirae Asset GEM Sector Leader Eq A USD
1870;Swedbank Robur Sverigefond
1711;Schroder ISF EM Dbt Abs Rt A Acc SEK
2178;Danske Invest GloblEmergingMarkts A
637;Handelsbanken Europa Index Crit (A1 SEK)
316497;BGF Emerging Markets Eq Inc A2 USD
634355;Holberg Triton A
996614;Evli Equity Factor Europe B
2433;Stewart Investors Wldwd Select A Acc GBP
439855;Amundi Fds Glbl Eq Cnsrv A USD C
864975;Evli Finnish Small Cap B
913953;Handelsbanken Global Selektiv (A1 SEK)
85;Fidelity Taiwan A-Dis-USD
70768;Janus Henderson Hrzn Glbl Pty Eqs A2 USD
462416;Invesco Global Targeted Ret A EUR Acc
669;Fidelity European Dynamic Gr A-Dis-EUR
92871;Jupiter European Growth L EUR Acc
286894;Allianz China Equity A USD
766853;UBS (Lux) EF China Oppo(USD) P SEK acc
934955;UBS (Lux) ES Glbl Imp (USD) EUR H P Acc
323519;Espiria Defensiv DC
323519;Espiria Defensiv AC
2069;Lannebo Likviditetsfond
440909;HSBC GIF Asian Currencies Bond AC
1047826;Nordea 1 - Global Listed Infrastr BP SEK
972003;Amundi Fds Euroland Equity A EUR C
86668;Danske Invest Global EM Small Cap A
86249;Atlant Sharp
390917;Nordea Japan
1038386;GlobeCap 100 A
453;Swedbank Robur Medica
600079;UB Europa REIT A
1907;SEB Hållbarhetsfond Sverige C SEK - Lux
2158;JPM Emerging Middle East Eq A (dist) USD
841333;Evli Global Multi Manager 30 Fund B
853173;Swedbank Robur Global Impact
2575;Swedbank Robur Europafond
2384;SEB Dynamisk Aktiefond
302887;Nordea 1 - Emerging Stars Equity BP SEK
801497;Danske Invest SRI Global SA
1644;Fidelity Nordic A-Dis-SEK
234109;Fidelity European Growth A-Dis-EUR
39648;Franklin Mutual Glbl DiscvA(acc)USD
766775;Öhman Sverige Marknad Hållbar A
716153;Quesada Global
937914;Lynx Active Balanced Fund D1 SEK
528379;Espiria Balanserad DC
348;SEB Fastighetsfond
1022029;THEAM Quant-Eq Eurp Guru C EUR Cap
350439;Fidelity Asian Bond A-Acc-USD
862036;SPP Global Företagsobligations Plus A
70688;First State Glbl Prpty Secs A Acc GBP
250631;Turkisfund Bonds A
616839;Invesco Euro Structured Eq A EUR Acc
659035;Fidelity Global Focus A-Acc-USD
289902;Threadneedle (Lux) Pan European Eqs AE
65407;Sparinvest SICAV European Value EUR R
397;Franklin Technology A Acc USD
663195;SPP Emerging Markets Plus A
1840;SEB Europa Indexfond C EUR - Lux
1833;Öhman Företagsobligationsfond A
376808;Threadneedle (Lux) Glbl Mlt Ast Inc AU
2376;Barings Global Leaders A USD Inc
463161;DNB Global Indeks A
315115;Handelsbanken USA Ind Crit A1 SEK
364936;Pictet-Emerg Mkt Sustainable Eq P USD
788398;Avanza Auto 1
799913;Handelsbanken Gl Småbolag Ind Cri A1 SEK
476475;Evli Emerging Markets Credit B
1660;Simplicity Norden
801713;Danske Invest Horisont Ränta SA
1887;AMF Aktiefond Global
455060;BNP Paribas Consumer Innovtr Cl C
316507;BGF Natural Resources Gr & Inc A2 USD
273829;Norron Select R
2066;Enter Cross Credit A
2802;AMF Räntefond Kort
2138;Barings Global Emerging Mkts A Inc
80;Fidelity Greater China A-Dis-USD
259164;Schroder ISF Eurp Spec Sits A Acc EUR
971314;Nordea 1 European Long Short Eq HB SEK
404618;Invesco China Focus Equity A USD Acc
1362;Fidelity Latin America A-Dis-USD
414066;INVL Emerging Europe Bond
965036;Invesco Belt and Road Debt A SEKH Acc
645075;GAM Star Credit Opps (EUR) A EUR Acc
173876;Amundi Fds Emerging Wld Eq A USD C
2481;Fidelity Global Bond A-Dis-USD
1892;Carnegie Sverigefond A
252929;Danske Invest Globala Realräntor SEK h
2197;SKAGEN Kon-Tiki A
789993;BNP Paribas US Value Mlt-Fac Eq Cl R
396;Pictet-Digital R USD
191188;SEB Asset Sel Opportun C SEK - Lux
473;SEB Läkemedelsfond
512556;Handelsbanken Kinafond
746774;Allianz Global High Yield A USD
154;Fidelity Asia Focus A-Dis-USD
3062;HSBC GIF Hong Kong Equity AC
949324;Nordea 1 - European Covered Bond HB SEK
241951;AS SICAV I WldResEq S USD Acc
132510;Spiltan Aktiefond Småland
1025148;AMF Aktiefond Tillväxtmarknader
788398;Avanza Auto 3
691673;DNB Europa Indeks A
476836;Ålandsbanken Euro Bond SEK
16527;C WorldWide Emerging Markets 1A
801496;Danske Invest Global Index SA
701;Franklin Eurp Sm-Mid Cap A(acc)EUR
2742;Handelsbanken Multi Asset 120 (A1 SEK)
475797;Swedbank Robur Företagsobligationsfond A
70759;Invesco India Equity A USD AD
316923;BGF European Equity Income A2
508255;Handelsbanken Sverige Selektiv
602915;OPM Global Quality Companies A
